DEBUG:2016-11-01 17:10:52,412:root:sofa .... 
INFO:2016-11-01 17:10:52,414:root:gettopicsqueue....
INFO:2016-11-01 17:10:52,416:root:setresponsetext....
INFO:2016-11-01 17:10:52,418:root:checkreplycondition....
INFO:2016-11-01 17:10:55,296:root:responsetopic....
DEBUG:2016-11-01 17:10:55,296:root:sofa .... 
INFO:2016-11-01 17:10:55,296:root:gettopicsqueue....
INFO:2016-11-01 17:10:55,297:root:setresponsetext....
INFO:2016-11-01 17:10:55,297:root:checkreplycondition....
INFO:2016-11-01 17:10:59,672:root:responsetopic....
DEBUG:2016-11-01 17:11:01,344:root:sofa .... 
INFO:2016-11-01 17:11:01,345:root:gettopicsqueue....
INFO:2016-11-01 17:11:01,345:root:setresponsetext....
INFO:2016-11-01 17:11:01,346:root:checkreplycondition....
INFO:2016-11-01 17:11:04,352:root:responsetopic....
DEBUG:2016-11-01 17:11:04,352:root:sofa .... 
INFO:2016-11-01 17:11:04,352:root:gettopicsqueue....
INFO:2016-11-01 17:11:04,353:root:setresponsetext....
INFO:2016-11-01 17:11:04,353:root:checkreplycondition....
INFO:2016-11-01 17:11:06,916:root:responsetopic....
DEBUG:2016-11-01 17:11:06,916:root:sofa .... 
INFO:2016-11-01 17:11:06,917:root:gettopicsqueue....
INFO:2016-11-01 17:11:06,917:root:setresponsetext....
INFO:2016-11-01 17:11:06,918:root:checkreplycondition....
INFO:2016-11-01 17:11:11,745:root:responsetopic....
DEBUG:2016-11-01 17:11:12,752:root:sofa .... 
INFO:2016-11-01 17:11:12,754:root:gettopicsqueue....
INFO:2016-11-01 17:11:12,755:root:setresponsetext....
INFO:2016-11-01 17:11:12,757:root:checkreplycondition....
INFO:2016-11-01 17:11:17,104:root:responsetopic....
DEBUG:2016-11-01 17:11:17,104:root:sofa .... 
INFO:2016-11-01 17:11:17,104:root:gettopicsqueue....
INFO:2016-11-01 17:11:17,105:root:setresponsetext....
INFO:2016-11-01 17:11:17,106:root:checkreplycondition....
INFO:2016-11-01 17:11:22,448:root:responsetopic....
DEBUG:2016-11-01 17:11:23,629:root:sofa .... 
INFO:2016-11-01 17:11:23,631:root:gettopicsqueue....
INFO:2016-11-01 17:11:23,633:root:setresponsetext....
INFO:2016-11-01 17:11:23,634:root:checkreplycondition....
INFO:2016-11-01 17:11:24,246:root:responsetopic....
